"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","INCOMEINEQ","GINI","INEQ","A","2015",0.333,
"ITA","INCOMEINEQ","GINI","INEQ","A","2016",0.328,
"JPN","INCOMEINEQ","GINI","INEQ","A","2015",0.339,
"KOR","INCOMEINEQ","GINI","INEQ","A","2015",0.352,
"KOR","INCOMEINEQ","GINI","INEQ","A","2016",0.355,
"KOR","INCOMEINEQ","GINI","INEQ","A","2017",0.355,
"LUX","INCOMEINEQ","GINI","INEQ","A","2015",0.306,
"LUX","INCOMEINEQ","GINI","INEQ","A","2016",0.304,
"MEX","INCOMEINEQ","GINI","INEQ","A","2014",0.459,
"MEX","INCOMEINEQ","GINI","INEQ","A","2016",0.458,
"NLD","INCOMEINEQ","GINI","INEQ","A","2014",0.303,
"NLD","INCOMEINEQ","GINI","INEQ","A","2015",0.288,
"NLD","INCOMEINEQ","GINI","INEQ","A","2016",0.285,"P"
"NZL","INCOMEINEQ","GINI","INEQ","A","2014",0.349,
"NOR","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"NOR","INCOMEINEQ","GINI","INEQ","A","2015",0.272,
"NOR","INCOMEINEQ","GINI","INEQ","A","2016",0.262,
"NOR","INCOMEINEQ","GINI","INEQ","A","2017",0.262,
"POL","INCOMEINEQ","GINI","INEQ","A","2014",0.298,
"POL","INCOMEINEQ","GINI","INEQ","A","2015",0.292,
"POL","INCOMEINEQ","GINI","INEQ","A","2016",0.284,
"PRT","INCOMEINEQ","GINI","INEQ","A","2014",0.338,
"PRT","INCOMEINEQ","GINI","INEQ","A","2015",0.336,
"PRT","INCOMEINEQ","GINI","INEQ","A","2016",0.331,
"SVK","INCOMEINEQ","GINI","INEQ","A","2014",0.247,
"SVK","INCOMEINEQ","GINI","INEQ","A","2015",0.251,
"SVK","INCOMEINEQ","GINI","INEQ","A","2016",0.241,
"ESP","INCOMEINEQ","GINI","INEQ","A","2014",0.344,
"ESP","INCOMEINEQ","GINI","INEQ","A","2015",0.345,
"ESP","INCOMEINEQ","GINI","INEQ","A","2016",0.341,
"SWE","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"SWE","INCOMEINEQ","GINI","INEQ","A","2015",0.278,
"SWE","INCOMEINEQ","GINI","INEQ","A","2016",0.282,
"SWE","INCOMEINEQ","GINI","INEQ","A","2017",0.282,
"CHE","INCOMEINEQ","GINI","INEQ","A","2014",0.297,
"CHE","INCOMEINEQ","GINI","INEQ","A","2015",0.296,
"TUR","INCOMEINEQ","GINI","INEQ","A","2014",0.398,
"TUR","INCOMEINEQ","GINI","INEQ","A","2015",0.404,
"GBR","INCOMEINEQ","GINI","INEQ","A","2014",0.356,
"GBR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"GBR","INCOMEINEQ","GINI","INEQ","A","2016",0.351,
"USA","INCOMEINEQ","GINI","INEQ","A","2014",0.394,
"USA","INCOMEINEQ","GINI","INEQ","A","2015",0.39,
"USA","INCOMEINEQ","GINI","INEQ","A","2016",0.391,
"CHL","INCOMEINEQ","GINI","INEQ","A","2015",0.454,
"EST","INCOMEINEQ","GINI","INEQ","A","2014",0.346,
"EST","INCOMEINEQ","GINI","INEQ","A","2015",0.33,
"EST","INCOMEINEQ","GINI","INEQ","A","2016",0.314,
"ISR","INCOMEINEQ","GINI","INEQ","A","2014",0.365,
"ISR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"ISR","INCOMEINEQ","GINI","INEQ","A","2016",0.346,
"ISR","INCOMEINEQ","GINI","INEQ","A","2017",0.344,
"SVN","INCOMEINEQ","GINI","INEQ","A","2014",0.251,
"SVN","INCOMEINEQ","GINI","INEQ","A","2015",0.25,
"SVN","INCOMEINEQ","GINI","INEQ","A","2016",0.244,
"LVA","INCOMEINEQ","GINI","INEQ","A","2014",0.35,
"LVA","INCOMEINEQ","GINI","INEQ","A","2015",0.346,
"LVA","INCOMEINEQ","GINI","INEQ","A","2016",0.346,
"LTU","INCOMEINEQ","GINI","INEQ","A","2014",0.381,
"LTU","INCOMEINEQ","GINI","INEQ","A","2015",0.372,
"LTU","INCOMEINEQ","GINI","INEQ","A","2016",0.378,
"CRI","INCOMEINEQ","GINI","INEQ","A","2014",0.485,
"CRI","INCOMEINEQ","GINI","INEQ","A","2015",0.479,
"CRI","INCOMEINEQ","GINI","INEQ","A","2016",0.484,
"CRI","INCOMEINEQ","GINI","INEQ","A","2017",0.48,
"ZAF","INCOMEINEQ","GINI","INEQ","A","2015",0.62,"P"
